"ISIC","ISIC TITLE","NAICSUS","NAICSUS TITLE","notes"
"2101","Manufacture of pulp, paper and paperboard","322222","Coated and Laminated Paper Manufacturing","laminating purchased foil and purchased paper, paper as primary component; coating and laminating paper for other than packaging uses"
"2101","Manufacture of pulp, paper and paperboard","322226","Surface-Coated Paperboard Manufacturing","coating purchased paperboard"
"2101","Manufacture of pulp, paper and paperboard","322299","All Other Converted Paper Product Manufacturing","crepe paper (or crinkling paper) made from purchased paper"
"2101","Manufacture of pulp, paper and paperboard","339944","Carbon Paper and Inked Ribbon Manufacturing","bulk carbon paper or stencil paper in rolls or large sheets"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322121","Paper (except Newsprint) Mills","corrugated paper or paperboard or containers made in paper mills"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322130","Paperboard Mills","corrugated paperboard or containers made in paperboard mills"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322211","Corrugated and Solid Fiber Box Manufacturing","corrugated and solid fiber boxes made from purchased paperboard"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322212","Folding Paperboard Box Manufacturing","folding paperboard boxes made from purchased paperboard"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322213","Setup Paperboard Box Manufacturing","setup paperboard boxes made from purchased paperboard"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322214","Fiber Can, Tube, Drum, and Similar Products Manufacturing","fiber cans, tubes, drums, and similar products made from purchased paper stock"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322215","Nonfolding Sanitary Food Container Manufacturing","nonfolding sanitary food containers made from purchased paperboard"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322223","Plastics, Foil, and Coated Paper Bag Manufacturing","coated paper bag manufacturing"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322224","Uncoated Paper and Multiwall Bag Manufacturing","uncoated and multiwall paper bags"
"2102","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","322299","All Other Converted Paper Product Manufacturing","die-cut paper products (except office use) made from purchased paper or paperboard"
"2109","Manufacture of other articles of paper and paperboard","322121","Paper (except Newsprint) Mills","sanitary paper goods made in paper mills, paper stationery made in paper mills, manufacture of other articles of paper in paper mills"
"2109","Manufacture of other articles of paper and paperboard","322130","Paperboard Mills","sanitary paper goods, paper stationery, or manufacture of other articles of paper made in paperboard mills"
"2109","Manufacture of other articles of paper and paperboard","322214","Fiber Can, Tube, Drum, and Similar Products Manufacturing","cones, bobbins, spools, etc., made from purchased paperboard"
"2109","Manufacture of other articles of paper and paperboard","322215","Nonfolding Sanitary Food Container Manufacturing","paper cups, dishes, straws, etc., made from purchased paper or paperboard"
"2109","Manufacture of other articles of paper and paperboard","322222","Coated and Laminated Paper Manufacturing","gummed paper products (sheets, tape) tape, wallpaper, or labels, gummed stock, including printing done at the same establishment made from purchased paper or other materials, including cellophane tape"
"2109","Manufacture of other articles of paper and paperboard","322226","Surface-Coated Paperboard Manufacturing","chipboard, coated or laminated, made from purchased paperboard"
"2109","Manufacture of other articles of paper and paperboard","322231","Die-Cut Paper and Paperboard Office Supplies Manufacturing","die-cut office supplies such as file cards, folders, adding machine rolls, and similar die-cut products used in offices, die-cut paperboard letters"
"2109","Manufacture of other articles of paper and paperboard","322232","Envelope Manufacturing","envelopes"
"2109","Manufacture of other articles of paper and paperboard","322233","Stationery, Tablet, and Related Product Manufacturing","writing paper, typing paper, tablets, filler paper, and similar paper"
"2109","Manufacture of other articles of paper and paperboard","322291","Sanitary Paper Product Manufacturing","sanitary products of paper"
"2109","Manufacture of other articles of paper and paperboard","322299","All Other Converted Paper Product Manufacturing","molded pulp cups, trays, dishes and similar sanitary paper goods, molded pulp egg trays and similar items, filters made from purchased paper, cigarette paper (book) made from purchased paper, confetti made from purchased paper"
"2109","Manufacture of other articles of paper and paperboard","323110","Commercial Lithographic Printing","lithographic printing on purchased labels or tags"
"2109","Manufacture of other articles of paper and paperboard","323111","Commercial Gravure Printing","gravure printing on purchased labels or tags"
"2109","Manufacture of other articles of paper and paperboard","323112","Commercial Flexographic Printing","flexographic printing on purchased labels or tags"
"2109","Manufacture of other articles of paper and paperboard","323113","Commercial Screen Printing","screen printing on purchased labels and tags"
"2109","Manufacture of other articles of paper and paperboard","323119","Other Commercial Printing","other printing on purchased labels and tags"
"2109","Manufacture of other articles of paper and paperboard","339944","Carbon Paper and Inked Ribbon Manufacturing","ready to use carbon paper, duplicator stencils, etc."
"2109","Manufacture of other articles of paper and paperboard","339991","Gasket, Packing, and Sealing Device Manufacturing","paper or paperboard gaskets made from purchased paper"
"2211","Publishing of books, brochures and other publications","339999","All Other Miscellaneous Manufacturing","globes"
"2211","Publishing of books, brochures and other publications","511130","Book Publishers","books, encyclopedias, dictionaries, maps, and atlases, includes books on tape "
"2211","Publishing of books, brochures and other publications","511140","Directory and Mailing List Publishers","telephone books, other directory books"
"2211","Publishing of books, brochures and other publications","511199","All Other Publishers","catalog and yearbook publishing"
"2212","Publishing of newspapers, journals and periodicals","511110","Newspaper Publishers","newspaper publishers"
"2212","Publishing of newspapers, journals and periodicals","511120","Periodical Publishers","advertising periodicals (advertising newspapers that come out weekly), periodical publishers (except advertising)"
"2213","Publishing of music","512210","Record Production","production of records, tapes, CDs, and similar sound recordings"
"2213","Publishing of music","512220","Integrated Record Production/Distribution","integrated record production and distribution"
"2213","Publishing of music","512230","Music Publishers","music books and sheet music publishing"
"2219","Other publishing","511120","Periodical Publishers","radio, TV, transport, and similar timetables"
"2219","Other publishing","511191","Greeting Card Publishers","publishing greeting cards"
"2219","Other publishing","511199","All Other Publishers","art prints or reproductions, posters, racing forms, calendars, paper patterns, and shopping news, and other miscellaneous publishing"
"2221","Printing","323110","Commercial Lithographic Printing","lithographic newspaper printing, lithographic printing (except newspapers, books, blank books and fillers)"
"2221","Printing","323111","Commercial Gravure Printing","gravure newspaper printing, gravure printing (except newspapers, books, blank books, fillers)"
"2221","Printing","323112","Commercial Flexographic Printing","flexographic newspaper printing, flexographic printing (except newspapers, books, blank books, fillers)"
"2221","Printing","323113","Commercial Screen Printing","screen printing newspapers, screen printing (except newspapers, books, blank books, fillers)"
"2221","Printing","323114","Quick Printing","short-run offset lithographic printing"
"2221","Printing","323115","Digital Printing","digital printing of graphical materials"
"2221","Printing","323116","Manifold Business Forms Printing","printing manifold business forms"
"2221","Printing","323117","Books Printing","printing books without publishing books"
"2221","Printing","323118","Blankbook, Looseleaf Binders, and Devices Manufacturing","printing looseleaf fillers, blank books, notebooks, diaries, etc."
"2221","Printing","323119","Other Commercial Printing","other newspaper printing, such as letterpress, other printing of items and miscellaneous printing, n.e.c."
"2221","Printing","339950","Sign Manufacturing","printing plastic, wood, glass, etc., signs"
"2222","Service activities related to printing","323118","Blankbook, Looseleaf Binders, and Devices Manufacturing","ring binders, looseleaf binders, and related device manufacturing "
"2222","Service activities related to printing","323121","Tradebinding and Related Work","binding, sample mounting and post press services, such as embossing, gilding, edging, etc."
"2222","Service activities related to printing","323122","Prepress Services","prepress services and plate making services, miscellaneous activities related to printing, such as punching and drilling, folding, embossing"
"2230","Reproduction of recorded media","334611","Software Reproducing","reproducing computer media"
"2230","Reproduction of recorded media","334612","Prerecorded Compact Disc (except Software), Tape, and Record Reproducing","reproduction of sound or video recording"
"2310","Manufacture of coke oven products","324199","All Other Petroleum and Coal Products Manufacturing","coke oven products, such as coke, gasses, tar"
"2320","Manufacture of refined petroleum products","324110","Petroleum Refineries","refined petroleum products produced from crude in the same establishment, asphalt paving mixtures, compounds, and mastics made in petroleum refineries"
"2320","Manufacture of refined petroleum products","324191","Petroleum Lubricating Oil and Grease Manufacturing","lubricating oil and grease made from purchased refined petroleum"
"2320","Manufacture of refined petroleum products","324199","All Other Petroleum and Coal Products Manufacturing","wax, petroleum jelly, and similar products made from purchased refined petroleum"
"2330","Processing of nuclear fuel","325188","All Other Basic Inorganic Chemical Manufacturing","manufacture of radio isotopes, uranium, enriched uranium, etc."
"2330","Processing of nuclear fuel","325412","Pharmaceutical Preparation Manufacturing","radioactive in-vivo diagnostic substances"
"2330","Processing of nuclear fuel","331419","Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","uranium smelting and refining, primary"
"2330","Processing of nuclear fuel","562211","Hazardous Waste Treatment and Disposal","radioactive waste treatment facilities"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325110","Petrochemical Manufacturing","manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants, cyclic and acyclic hydrocarbons"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325120","Industrial Gas Manufacturing","manufacture of industrial gases, including solid carbon dioxide (dry ice)"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325131","Inorganic Dye and Pigment Manufacturing","inorganic dyes and pigments"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325132","Synthetic Organic Dye and Pigment Manufacturing","synthetic organic dyes and pigments"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325181","Alkalies and Chlorine Manufacturing","alkalies and chlorine"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325182","Carbon Black Manufacturing","carbon black, bone black, lamp black"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325188","All Other Basic Inorganic Chemical Manufacturing","inorganic tanning agents, all other basic inorganic chemicals, including carbon disulfide"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325191","Gum and Wood Chemical Manufacturing","natural tanning and dyeing extracts, gum and wood chemicals"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325192","Cyclic Crude and Intermediate Manufacturing","coal tar distillates, other cyclic crudes and intermediates"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325193","Ethyl Alcohol Manufacturing","nonpotable synthetic ethyl alcohol (not fermented)"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325199","All Other Basic Organic Chemical Manufacturing ","other natural colorings, nonfood, acetic acid and similar, other oxygen function compounds, such as ketone, synthetic glycerol, natural and synthetic alcohols (such as methyl), etc."
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325312","Phosphatic Fertilizer Manufacturing","phosphoric acid"
"2411","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","325612","Polish and Other Sanitation Good Manufacturing","household lye"
"2412","Manufacture of fertilizers and nitrogen compounds","325188","All Other Basic Inorganic Chemical Manufacturing","ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc."
"2412","Manufacture of fertilizers and nitrogen compounds","325311","Nitrogenous Fertilizer Manufacturing","nitrogenous fertilizer and nitrogenous fertilizer inputs"
"2412","Manufacture of fertilizers and nitrogen compounds","325312","Phosphatic Fertilizer Manufacturing","phosphatic fertilizers and inputs"
"2412","Manufacture of fertilizers and nitrogen compounds","325314","Fertilizer (Mixing Only) Manufacturing","mixing purchased inputs to make fertilizer"
"2413","Manufacture of plastics in primary forms and of synthetic rubber","325211","Plastics Material and Resin Manufacturing","plastics resins"
"2413","Manufacture of plastics in primary forms and of synthetic rubber","325212","Synthetic Rubber Manufacturing","synthetic rubber manufacturing"
"2413","Manufacture of plastics in primary forms and of synthetic rubber","325991","Custom Compounding of Purchased Resins","custom compounding purchased resins"
"2421","Manufacture of pesticides and other agro-chemical products","325320","Pesticide and Other Agricultural Chemical Manufacturing","pesticides and other agricultural chemicals in bulk or put up for retail sale"
"2421","Manufacture of pesticides and other agro-chemical products","325612","Polish and Other Sanitation Good Manufacturing","household and industrial disinfectants"
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","325191","Gum and Wood Chemical Manufacturing","water pigments for finishing leather "
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","325510","Paint and Coating Manufacturing","paints and coatings"
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","325520","Adhesive Manufacturing","caulks and mastics (except glues)"
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","325910","Printing Ink Manufacturing","printing inks, including duplicator"
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","textile dye preparations and other household dye or tinting preparations (except hair)"
"2422","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","339942","Lead Pencil and Art Good Manufacturing","artists' paints and colors"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","325199","All Other Basic Organic Chemical Manufacturing","salicylic acid (nonmedicinal)"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","325411","Medicinal and Botanical Manufacturing","uncompounded medicinal chemicals and their derivatives"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","325412","Pharmaceutical Preparation Manufacturing","pharmaceutical preparations"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","325413","In-Vitro Diagnostic Substance Manufacturing","in-vitro diagnostic substances"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","325414","Biological Product (except Diagnostic) Manufacturing","plasma and other processed blood, vaccines, toxoids, and other biological products, agar culture media"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","339113","Surgical Appliance and Supplies Manufacturing","surgical dressings, surgical sutures, etc., medicated"
"2423","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","339114","Dental Equipment and Supplies Manufacturing","dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations"
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","325611","Soap and Other Detergent Manufacturing","soaps and detergents, toothpastes, gels, etc."
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","325612","Polish and Other Sanitation Good Manufacturing","polishes and other sanitation goods"
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","325613","Surface Active Agent Manufacturing","emulsifiers and penetrants "
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","325620","Toilet Preparation Manufacturing","premoistened towelettes (hand cleaning), perfumes and toilet preparations, including cosmetics, denture cleaners and adhesives, sunscreen lotions, personal deodorants"
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","incense and engine degreasers"
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","soap impregnated metal scouring pads"
"2424","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","339999","All Other Miscellaneous Manufacturing","potpourri"
"2429","Manufacture of other chemical products n.e.c.","311942","Spice and Extract Manufacturing","processing purchased salt into table salt"
"2429","Manufacture of other chemical products n.e.c.","325199","All Other Basic Organic Chemical Manufacturing","synthetic essential oils, synthetic plasticizer compounds, synthetic accelerators, naphthenic acid soaps"
"2429","Manufacture of other chemical products n.e.c.","325413","In-Vitro Diagnostic Substance Manufacturing","diagnostic reagents "
"2429","Manufacture of other chemical products n.e.c.","325520","Adhesive Manufacturing","glues"
"2429","Manufacture of other chemical products n.e.c.","325612","Polish and Other Sanitation Good Manufacturing","laundry starch"
"2429","Manufacture of other chemical products n.e.c.","325613","Surface Active Agent Manufacturing","leather and textile finishing agents, mordants"
"2429","Manufacture of other chemical products n.e.c.","325920","Explosives Manufacturing","explosives"
"2429","Manufacture of other chemical products n.e.c.","325992","Photographic Film, Paper, Plate, and Chemical Manufacturing","photographic film, plate, paper, and chemicals "
"2429","Manufacture of other chemical products n.e.c.","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","fireworks and signaling flares, essential oils, chemical preparations, n.e.c., Including activated carbon, writing & drawing inks, fire extinguisher charges, antifreeze compounds"
"2429","Manufacture of other chemical products n.e.c.","332992","Small Arms Ammunition Manufacturing","small arms percussion caps and primers"
"2429","Manufacture of other chemical products n.e.c.","332993","Ammunition (except Small Arms) Manufacturing","detonators, fuses, and primers for ammunition"
"2429","Manufacture of other chemical products n.e.c.","334413","Semiconductor and Related Device Manufacturing","semifinished dice or wafers, semiconductor"
"2429","Manufacture of other chemical products n.e.c.","334613","Magnetic and Optical Recording Media Manufacturing","prepared unrecorded magnetic and optical media"
"2430","Manufacture of man-made fibres","325221","Cellulosic Organic Fiber Manufacturing","cellulosic fibers, filaments, tow, and monofilament yarn"
"2430","Manufacture of man-made fibres","325222","Noncellulosic Organic Fiber Manufacturing","noncellulosic fibers, filaments, tow, and monofilament yarn"
"2511","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres","326211","Tire Manufacturing (except Retreading)","tubes and tires (including camelback)"
"2511","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres","326212","Tire Retreading","retreading"
"2519","Manufacture of other rubber products","313221","Narrow Fabric Mills","rubber thread and yarn, fabric coated"
"2519","Manufacture of other rubber products","313320","Fabric Coating Mills","rubberized fabric"
"2519","Manufacture of other rubber products","315299","All Other Cut and Sew Apparel Manufacturing","rubber waterproof rainwear made from purchased materials"
"2519","Manufacture of other rubber products","315999","Other Apparel Accessories and Other Apparel Manufacturing","rubber bathing caps and aprons"
"2519","Manufacture of other rubber products","326192","Resilient Floor Covering Manufacturing","resilient rubber floor coverings"
"2519","Manufacture of other rubber products","326211","Tire Manufacturing (except Retreading)","rubber tire repair materials"
"2519","Manufacture of other rubber products","326220","Rubber and Plastics Hose and Belting Manufacturing","rubber hose and belting"
"2519","Manufacture of other rubber products","326291","Rubber Product Manufacturing for Mechanical Use","molded, extruded or lathe cut rubber products for mechanical applications"
"2519","Manufacture of other rubber products","326299","All Other Rubber Product Manufacturing","all other rubber products, including reclaimed or recovered rubber from scrap or waste, rubber floor mats, rubber hair care products, inflatable rubber rafts, balloons"
"2519","Manufacture of other rubber products","332912","Fluid Power Valve and Hose Fitting Manufacturing","rubber fluid power hose assemblies with fittings (but not valves or similar accessories)"
"2519","Manufacture of other rubber products","337910","Mattress Manufacturing","rubber waterbed mattresses"
"2519","Manufacture of other rubber products","339113","Surgical Appliance and Supplies Manufacturing","inflatable rubber life vests and rubber gloves (surgical, electricians', etc.)"
"2519","Manufacture of other rubber products","339920","Sporting and Athletic Goods Manufacturing","rubber wet suits and diving suits"
"2519","Manufacture of other rubber products","339991","Gasket, Packing, and Sealing Device Manufacturing","rubber gaskets and seals"
"2520","Manufacture of plastics products","314129","Other Household Textile Product Mills","plastics shower curtains and tablecloths made from purchased materials"
"2520","Manufacture of plastics products","314911","Textile Bag Mills","plastics blanket bags - heat seamed"
"2520","Manufacture of plastics products","315299","All Other Cut and Sew Apparel Manufacturing","plastics rainwear made from purchased materials (heat seamed ponchos, for example)"
"2520","Manufacture of plastics products","321999","All Other Miscellaneous Wood Product Manufacturing","plastic shoe lasts"
"2520","Manufacture of plastics products","322222","Coated and Laminated Paper Manufacturing","plastic wallpaper made from purchased plastic, plastics self-adhesive tapes and similar"
"2520","Manufacture of plastics products","325221","Cellulosic Organic Fiber Manufacturing","cellophane film or sheet"
"2520","Manufacture of plastics products","326111","Plastics Bag Manufacturing","plastics bags, single web and multiweb, single wall and multiwall (plastic to plastic laminations)"
"2520","Manufacture of plastics products","326112","Plastics Packaging Film and Sheet (including Laminated) Manufacturing","plastics packaging film and sheet"
"2520","Manufacture of plastics products","326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","film and sheet (except for packaging applications)"
"2520","Manufacture of plastics products","326121","Unlaminated Plastics Profile Shape Manufacturing","plastics profile shapes such as rod and tube"
"2520","Manufacture of plastics products","326122","Plastics Pipe and Pipe Fitting Manufacturing","plastics pipe and pipe fittings"
"2520","Manufacture of plastics products","326130","Laminated Plastics Plate, Sheet (except packaging), and Shape Manufacturing","laminated plastics plate, sheet, film, and basic shapes, such as rod and tube"
"2520","Manufacture of plastics products","326140","Polystyrene Foam Product Manufacturing","polystyrene insulation panels or boards, packaging materials, shipping pads, and similar items, cups, dishes, plates, etc. Also polystyrene ice chests, jugs, and similar, polystyrene plastics vacuum jugs"
"2520","Manufacture of plastics products","326150","Urethane and Other Foam Product (except Polystyrene) Manufacturing","other foam packaging materials, cups, shipping pads, and similar items, other foam ice chests, vacuum jugs, and similar, foam covers for cloths hangers"
"2520","Manufacture of plastics products","326160","Plastics Bottle Manufacturing","plastics bottles"
"2520","Manufacture of plastics products","326191","Plastics Plumbing Fixture Manufacturing","plastics plumbing fixtures such as water closets, urinals, sinks, basins, laundry tubs, and similar, cultured marble and cultured stone sinks, vanity tops, etc."
"2520","Manufacture of plastics products","326192","Resilient Floor Covering Manufacturing","plastics resilient floor coverings (vinyl)"
"2520","Manufacture of plastics products","326199","All Other Plastics Product Manufacturing","corrugated and flat plastics building panels (sheets), miscellaneous plastics packaging products, including plastic bubble wrap, and bottle tops, pails, drums, boxes and cases of plastics, plastics building products (shutters, siding, doors, & parts), miscellaneous plastics products, such as lamp shades, clothes hangers, cloths pins, bathroom and toilet accessories, dishes, bowels, balloons, nuts, bolts, organizers, fiberglass ladders, etc."
"2520","Manufacture of plastics products","326220","Rubber and Plastics Hose and Belting Manufacturing","plastics (reinforced) hose and belting manufacturing"
"2520","Manufacture of plastics products","332913","Plumbing Fixture Fitting and Trim Manufacturing","plastics plumbing fixture fittings and trim"
"2520","Manufacture of plastics products","334419","Other Electronic Component Manufacturing","technical laminates"
"2520","Manufacture of plastics products","335932","Noncurrent-Carrying Wiring Device Manufacturing","plastic noncurrent carrying wiring devices, including plastic electrical conduit and fittings, plastic junction boxes, face plates, and similar, plastic pole line fittings"
"2520","Manufacture of plastics products","336360","Motor Vehicle Seating and Interior Trim Manufacturing","plastic motor vehicle interior panels and trim"
"2520","Manufacture of plastics products","337215","Showcase, Partition, Shelving, and Locker Manufacturing","finished plastic furniture parts (e.g., frames)"
"2520","Manufacture of plastics products","337920","Blind and Shade Manufacturing","plastic shades, blinds (e.g., miniblinds), and plastics hardware for hanging shades, blinds, and drapery"
"2520","Manufacture of plastics products","339113","Surgical Appliance and Supplies Manufacturing","plastics hard hats and other personal safety equipment of plastics"
"2520","Manufacture of plastics products","339950","Sign Manufacturing","blanks for plastic name plates, plastic letters for signs"
"2520","Manufacture of plastics products","339991","Gasket, Packing, and Sealing Device Manufacturing","plastic gaskets"
"2520","Manufacture of plastics products","339999","All Other Miscellaneous Manufacturing","miscellaneous plastic items"
"2610","Manufacture of glass and glass products","327211","Flat Glass Manufacturing","manufacturing flat glass, or stained glass and stained glass products in glass making plants (melting silica sand or cullet), glassmaking plant output that is also shaped or processed in the same facility"
"2610","Manufacture of glass and glass products","327212","Other Pressed and Blown Glass and Glassware Manufacturing","drinking glasses & other domestic glass or crystal articles, or other glass, including technical glass made in glass making plants (melting silica sand or cullet), glass fibers made in glass making plants,"
"2610","Manufacture of glass and glass products","327213","Glass Container Manufacturing","bottles, jars, and other glass containers"
"2610","Manufacture of glass and glass products","327215","Glass Product Manufacturing Made of Purchased Glass","shaping and processing purchased flat glass, drinking glasses and other domestic glass or crystal articles made from purchased glass, glass fibers made from purchased glass, other glass, including technical glass made from purchased glass"
"2610","Manufacture of glass and glass products","327993","Mineral Wool Manufacturing","fiberglass insulation products"
"2691","Manufacture of non-structural non-refractory ceramic ware","327111","Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing","ceramic and earthenware bathroom accessories, ceramic sanitary fixtures"
"2691","Manufacture of non-structural non-refractory ceramic ware","327112","Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing","ceramic & earthenware cooking ware, table & kitchen articles, vases, statuary & art articles, & similar, technical & chemical stoneware, ceramic, china, & porcelain articles, clay products for agriculture (e.g., red clay pots) & other clay pots, jars, etc"
"2691","Manufacture of non-structural non-refractory ceramic ware","327113","Porcelain Electrical Supply Manufacturing","ceramic insulators and fittings, ceramic magnets"
"2692","Manufacture of refractory ceramic products","327124","Clay Refractory Manufacturing","clay refractory products, such as bricks, tiles, mortars, crucibles, and similar"
"2692","Manufacture of refractory ceramic products","327125","Nonclay Refractory Manufacturing","nonclay refractors, such as bricks, tiles, mortars, crucibles, and similar"
"2693","Manufacture of structural non-refractory clay and ceramic products","327121","Brick and Structural Clay Tile Manufacturing","brick and structural clay tiles"
"2693","Manufacture of structural non-refractory clay and ceramic products","327122","Ceramic Wall and Floor Tile Manufacturing","ceramic floor and wall tiles, clay quarry tiles (flooring blocks, support or filler tiles)"
"2693","Manufacture of structural non-refractory clay and ceramic products","327123","Other Structural Clay Product Manufacturing","clay roofing tiles, chimney liners, architectural terra-cotta products, pipes, pipe fittings, and drain tiles"
"2694","Manufacture of cement, lime and plaster","327310","Cement Manufacturing","manufacturing natural, portland, and similar cement"
"2694","Manufacture of cement, lime and plaster","327410","Lime Manufacturing","lime, quick lime and similar, including dead burned or calcined dolomite"
"2694","Manufacture of cement, lime and plaster","327420","Gypsum Product Manufacturing","manufacturing gypsum plaster"
"2695","Manufacture of articles of concrete, cement and plaster","327123","Other Structural Clay Product Manufacturing","adobe bricks and similar articles of fibre cement "
"2695","Manufacture of articles of concrete, cement and plaster","327320","Ready-Mix Concrete Manufacturing","ready-mix concrete, including temporary batch plants"
"2695","Manufacture of articles of concrete, cement and plaster","327331","Concrete Block and Brick Manufacturing","concrete brick and block"
"2695","Manufacture of articles of concrete, cement and plaster","327332","Concrete Pipe Manufacturing","concrete pipe"
"2695","Manufacture of articles of concrete, cement and plaster","327390","Other Concrete Product Manufacturing","precast and prestressed concrete products for construction purposes, such as girders, beams, concrete curtain wall, and similar, other articles of concrete, such as statuary, pots, planters, furniture, etc."
"2695","Manufacture of articles of concrete, cement and plaster","327420","Gypsum Product Manufacturing","plaster products for construction, such as wall-board, panels, architectural & ornamental articles for construction, other plaster articles, such as statuary, etc., (does not include bas/haut-relief items of an architectural or construction application)"
"2695","Manufacture of articles of concrete, cement and plaster","327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","stucco and stucco products, dry mix mortar and dry mix concrete, asbestos cement products, articles of synthetic stone, such as statuary, pots, and similar"
"2696","Cutting, shaping and finishing of stone","327991","Cut Stone and Cut Stone Product Manufacturing","cutting, shaping, and finishing granite, marble, limestone, slate, and other stone for building and miscellaneous uses. Establishments may mine or quarry the stone and further process at the same location."
"2696","Cutting, shaping and finishing of stone","453998","All Other Miscellaneous Store Retailers (except Tobacco Stores)","custom finishing and lettering of tombstones"
"2699","Manufacture of other non-metallic mineral products n.e.c.","322121","Paper (except Newsprint) Mills","tar paper made in paper mills"
"2699","Manufacture of other non-metallic mineral products n.e.c.","324121","Asphalt Paving Mixture and Block Manufacturing","asphalt paving mixtures and compounds made from purchased asphaltic materials"
"2699","Manufacture of other non-metallic mineral products n.e.c.","324122","Asphalt Shingle and Coating Materials Manufacturing","asphalt shingles and coating materials made from purchased asphaltic materials"
"2699","Manufacture of other non-metallic mineral products n.e.c.","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing","drilling mud compounds"
"2699","Manufacture of other non-metallic mineral products n.e.c.","327910","Abrasive Product Manufacturing","abrasive products, including sandpaper"
"2699","Manufacture of other non-metallic mineral products n.e.c.","327992","Ground or Treated Mineral and Earth Manufacturing","ground or treated beyond beneficiation minerals and earths (including clays, ceramic and refractory minerals)"
"2699","Manufacture of other non-metallic mineral products n.e.c.","327993","Mineral Wool Manufacturing","mineral wool and products (except glass fiber and wool products)"
"2699","Manufacture of other non-metallic mineral products n.e.c.","327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","synthetic gem stones for industrial use, peat pots, molded peat products, and mica products"
