"ISIC","NAICSUS","notes"
"2429","325199","synthetic essential oils, synthetic plasticizer compounds, synthetic accelerators, naphthenic acid soaps"
"2429","325413","diagnostic reagents "
"2429","325520","glues"
"2429","325612","laundry starch"
"2429","325613","leather and textile finishing agents, mordants"
"2429","325920","explosives"
"2429","325992","photographic film, plate, paper, and chemicals "
"2429","325998","fireworks and signaling flares, essential oils, chemical preparations, n.e.c., Including activated carbon, writing & drawing inks, fire extinguisher charges, antifreeze compounds"
"2429","332992","small arms percussion caps and primers"
"2429","332993","detonators, fuses, and primers for ammunition"
"2429","334413","semifinished dice or wafers, semiconductor"
"2429","334613","prepared unrecorded magnetic and optical media"
"2430","325221","cellulosic fibers, filaments, tow, and monofilament yarn"
"2430","325222","noncellulosic fibers, filaments, tow, and monofilament yarn"
"2511","326211","tubes and tires (including camelback)"
"2511","326212","retreading"
"2519","313221","rubber thread and yarn, fabric coated"
"2519","313320","rubberized fabric"
"2519","315299","rubber waterproof rainwear made from purchased materials"
"2519","315999","rubber bathing caps and aprons"
"2519","326192","resilient rubber floor coverings"
"2519","326211","rubber tire repair materials"
"2519","326220","rubber hose and belting"
"2519","326291","molded, extruded or lathe cut rubber products for mechanical applications"
"2519","326299","all other rubber products, including reclaimed or recovered rubber from scrap or waste, rubber floor mats, rubber hair care products, inflatable rubber rafts, balloons"
"2519","332912","rubber fluid power hose assemblies with fittings (but not valves or similar accessories)"
"2519","337910","rubber waterbed mattresses"
"2519","339113","inflatable rubber life vests and rubber gloves (surgical, electricians', etc.)"
"2519","339920","rubber wet suits and diving suits"
"2519","339991","rubber gaskets and seals"
"2520","314129","plastics shower curtains and tablecloths made from purchased materials"
"2520","314911","plastics blanket bags - heat seamed"
"2520","315299","plastics rainwear made from purchased materials (heat seamed ponchos, for example)"
"2520","321999","plastic shoe lasts"
"2520","322222","plastic wallpaper made from purchased plastic, plastics self-adhesive tapes and similar"
"2520","325221","cellophane film or sheet"
"2520","326111","plastics bags, single web and multiweb, single wall and multiwall (plastic to plastic laminations)"
"2520","326112","plastics packaging film and sheet"
"2520","326113","film and sheet (except for packaging applications)"
"2520","326121","plastics profile shapes such as rod and tube"
"2520","326122","plastics pipe and pipe fittings"
"2520","326130","laminated plastics plate, sheet, film, and basic shapes, such as rod and tube"
"2520","326140","polystyrene insulation panels or boards, packaging materials, shipping pads, and similar items, cups, dishes, plates, etc. Also polystyrene ice chests, jugs, and similar, polystyrene plastics vacuum jugs"
"2520","326150","other foam packaging materials, cups, shipping pads, and similar items, other foam ice chests, vacuum jugs, and similar, foam covers for cloths hangers"
"2520","326160","plastics bottles"
"2520","326191","plastics plumbing fixtures such as water closets, urinals, sinks, basins, laundry tubs, and similar, cultured marble and cultured stone sinks, vanity tops, etc."
"2520","326192","plastics resilient floor coverings (vinyl)"
"2520","326199","corrugated and flat plastics building panels (sheets), miscellaneous plastics packaging products, including plastic bubble wrap, and bottle tops, pails, drums, boxes and cases of plastics, plastics building products (shutters, siding, doors, & parts), miscellaneous plastics products, such as lamp shades, clothes hangers, cloths pins, bathroom and toilet accessories, dishes, bowels, balloons, nuts, bolts, organizers, fiberglass ladders, etc."
"2520","326220","plastics (reinforced) hose and belting manufacturing"
"2520","332913","plastics plumbing fixture fittings and trim"
"2520","334419","technical laminates"
"2520","335932","plastic noncurrent carrying wiring devices, including plastic electrical conduit and fittings, plastic junction boxes, face plates, and similar, plastic pole line fittings"
"2520","336360","plastic motor vehicle interior panels and trim"
"2520","337215","finished plastic furniture parts (e.g., frames)"
"2520","337920","plastic shades, blinds (e.g., miniblinds), and plastics hardware for hanging shades, blinds, and drapery"
"2520","339113","plastics hard hats and other personal safety equipment of plastics"
"2520","339950","blanks for plastic name plates, plastic letters for signs"
"2520","339991","plastic gaskets"
"2520","339999","miscellaneous plastic items"
"2610","327211","manufacturing flat glass, or stained glass and stained glass products in glass making plants (melting silica sand or cullet), glassmaking plant output that is also shaped or processed in the same facility"
"2610","327212","drinking glasses & other domestic glass or crystal articles, or other glass, including technical glass made in glass making plants (melting silica sand or cullet), glass fibers made in glass making plants,"
"2610","327213","bottles, jars, and other glass containers"
"2610","327215","shaping and processing purchased flat glass, drinking glasses and other domestic glass or crystal articles made from purchased glass, glass fibers made from purchased glass, other glass, including technical glass made from purchased glass"
"2610","327993","fiberglass insulation products"
"2691","327111","ceramic and earthenware bathroom accessories, ceramic sanitary fixtures"
"2691","327112","ceramic & earthenware cooking ware, table & kitchen articles, vases, statuary & art articles, & similar, technical & chemical stoneware, ceramic, china, & porcelain articles, clay products for agriculture (e.g., red clay pots) & other clay pots, jars, etc"
"2691","327113","ceramic insulators and fittings, ceramic magnets"
"2692","327124","clay refractory products, such as bricks, tiles, mortars, crucibles, and similar"
"2692","327125","nonclay refractors, such as bricks, tiles, mortars, crucibles, and similar"
"2693","327121","brick and structural clay tiles"
"2693","327122","ceramic floor and wall tiles, clay quarry tiles (flooring blocks, support or filler tiles)"
"2693","327123","clay roofing tiles, chimney liners, architectural terra-cotta products, pipes, pipe fittings, and drain tiles"
"2694","327310","manufacturing natural, portland, and similar cement"
"2694","327410","lime, quick lime and similar, including dead burned or calcined dolomite"
"2694","327420","manufacturing gypsum plaster"
"2695","327123","adobe bricks and similar articles of fibre cement "
"2695","327320","ready-mix concrete, including temporary batch plants"
"2695","327331","concrete brick and block"
"2695","327332","concrete pipe"
"2695","327390","precast and prestressed concrete products for construction purposes, such as girders, beams, concrete curtain wall, and similar, other articles of concrete, such as statuary, pots, planters, furniture, etc."
"2695","327420","plaster products for construction, such as wall-board, panels, architectural & ornamental articles for construction, other plaster articles, such as statuary, etc., (does not include bas/haut-relief items of an architectural or construction application)"
"2695","327999","stucco and stucco products, dry mix mortar and dry mix concrete, asbestos cement products, articles of synthetic stone, such as statuary, pots, and similar"
"2696","327991","cutting, shaping, and finishing granite, marble, limestone, slate, and other stone for building and miscellaneous uses. Establishments may mine or quarry the stone and further process at the same location."
"2696","453998","custom finishing and lettering of tombstones"
"2699","322121","tar paper made in paper mills"
"2699","324121","asphalt paving mixtures and compounds made from purchased asphaltic materials"
"2699","324122","asphalt shingles and coating materials made from purchased asphaltic materials"
"2699","325998","drilling mud compounds"
"2699","327910","abrasive products, including sandpaper"
"2699","327992","ground or treated beyond beneficiation minerals and earths (including clays, ceramic and refractory minerals)"
"2699","327993","mineral wool and products (except glass fiber and wool products)"
"2699","327999","synthetic gem stones for industrial use, peat pots, molded peat products, and mica products"
"2699","335991","carbon and graphite fibers and products (except electrodes and electrical applications)"
"2699","336340","asbestos based brake linings"
"2699","336350","asbestos based clutch facings"
"2699","339113","asbestos garments (i.e., fire-fighting protection suits)"
"2699","339991","nonmetallic mineral gaskets"
"2710","331111","iron, steel, steel or iron powder, paste, flake, etc., steel wire, steel tube and fittings, made in steel mills and continuous cast semifinished shapes made in steel mills, cast iron tubes and fittings made in iron and steel mills"
"2710","331112","ferroalloys and additive elements for alloying steel, high carbon ferro-manganese and spiegeleisen"
"2710","331210","cast iron tubes made from purchased iron, steel tube made from purchased steel"
"2710","331221","hot rolling of purchased steel, cold rolling purchased steel for basic shapes, such as rod, bar, plate, and sheet; steel or iron powder, paste, flake, etc., made from purchased steel, and semifinished steel shapes made from purchased steel, cold drawing steel shapes, such as bar, strip or plate from purchased steel, cold rolling narrow strip, cold formed angles (H, I, T, U, etc.) (except structural steel members)"
"2710","331222","drawing steel wire from purchased steel"
"2710","331511","cast iron tube fittings made from purchased iron"
"2710","331513","steel tube fittings made from purchased steel"
"2710","332111","iron or steel semifinished shapes"
"2710","332312","concrete reinforcing bars"
"2710","332912","ferrous fluid power hose fittings made from purchased ferrous materials"
"2710","332919","flanges, unions, and other pipe fittings made from purchased pipe"
"2710","332996","fabricated metal pipe fittings made from purchased pipe, steel, aluminum, lead, zinc, or tin pipe"
"2720","322221","laminating purchased foil and paper for packaging uses, foil as primary component"
"2720","322222","precious metal foil laminates made from purchased foil, aluminum foil laminates made from purchased aluminum foil as primary component"
"2720","322225","aluminum foil packaging laminates made from purchased foil, tinfoil packaging laminates made from purchased tinfoil"
"2720","331112","high purity additive elements with little or no iron content used in steel production"
"2720","331311","production of alumina generally from bauxite"
"2720","331312","production of aluminum from alumina"
"2720","331314","production of aluminum from scrap, alloying aluminum, production of aluminum powder, paste, or flake from purchased aluminum"
"2720","331315","flat rolling or continuous casting of purchased aluminum, recovery of aluminum from scrap and flat rolling or continuous casting"
"2720","331316","extruding purchased aluminum or secondary production and extrusion of aluminum"
"2720","331319","other rolling or drawing of purchased aluminum, including wire drawing, other secondary production and rolling and drawing"
"2720","331411","primary production of copper"
"2720","331419","primary refining of silver, gold, platinum, and other precious metals, and cladding base metals in primary smelting facilities, primary smelting and refining of zinc, tin, and lead, primary smelting and refining or other nonferrous metals (except precious, copper, aluminum, lead, zinc, and tin)"
"2720","331421","rolling, drawing, extruding purchased copper or secondary production of copper and rolling, drawing, and extruding in integrated mills (including bronze)"
"2720","331422","drawing copper wire from purchased wire"
"2720","331423","secondary smelting and refining or alloying of purchased copper"
"2720","331491","rolling, drawing, extruding, etc., purchased precious metals, secondary smelting of lead, zinc, and tin; rolling, drawing, and extruding purchased zinc, tin, and lead, rolling, drawing and extruding purchased miscellaneous nonferrous metals or secondary production and rolling, drawing and extruding in integrated mills"
"2720","331492","secondary smelting and refining, including alloying purchased precious metals and cladding base metals with purchased precious metals, secondary smelting and refining of tin, zinc, and lead; alloying purchased zinc, lead, or tin, secondary smelting, refining, or alloying miscellaneous nonferrous metals"
"2720","332912","aluminum fluid power hose fittings, lead, zinc, or tin fluid power hose fittings, copper fluid power hose fittings, fluid power hose fittings made from purchased nonferrous metal"
"2720","332913","copper pipe fittings (such as copper elbows, unions, and compression fittings)"
"2720","332996","pipe and pipe fittings made from purchased other nonferrous metal pipe"
"2720","332999","beating precious metals (to get foil, leaf, etc.), aluminum freezer foil not made in rolling mills, lead, zinc, or tin foil and leaf made from purchased foil, copper foil and leaf made from purchased foil, miscellaneous nonferrous metal foil made from purchased foil"
"2731","331511","iron castings made from purchased iron "
"2731","331512","steel investment castings made form purchased steel "
"2731","331513","steel foundries (except investment foundries)"
"2732","331521","aluminum die-casting from purchased aluminum"
"2732","331522","other light metal die-casting from purchased light metals, other nonferrous die-casting of purchased nonferrous metals"
"2732","331524","other aluminum castings from purchased aluminum"
"2732","331525","copper castings made from purchased copper"
"2732","331528","other light metal castings made from purchased light metals, other nonferrous castings made from purchased nonferrous metals"
"2811","332311","prefabricated metal buildings and sections of buildings"
"2811","332312","fabricated structural metal such as joists and tower sections, steel racks for railcars"
"2811","332313","plate work such as troughs, tunnel lining, smokestacks, and similar platework products"
"2811","332321","metal doors, windows, sash, thresholds, shutters, metal molding and trim (except automotive), metal garage doors, hanger doors, and similar"
"2811","332322","building sheet metal work, such as ducts, awnings, culverts, ornamental metal partitions, downspouts, sheet metal roofing, sheet metal studs, flues, hoods, mail chutes, and similar"
"2811","332323","ornamental and architectural metal work such as balconies, fire escapes, metal curtain wall, open floor grating, flag poles, ornamental brass work, scaffolds, elevator guide rails, grills and grillwork, and similar, stair treads, stairwork, stair cases, gates (except wire)"
"2811","337215","room partitions for floor attachment, metal"
"2812","332313","metal plate work containers over 300 liters, such as hoppers"
"2812","332420","heavy gauge metal tanks, such as oil storage tanks, farm storage tanks, and other tanks and metal storage containers over 300 liters, heavy gauge water tanks"
"2812","332439","light gauge containers over 300 liters, such as hoppers and bins"
"2812","333414","central heating boilers and radiators"
"2812","811310","repair of metal tanks"
"2813","332313","plate work for nuclear reactors such as reactor containment vessels"
"2813","332410","power boilers (high pressure steam or hot water boilers), nuclear reactor steam supply systems, nuclear reactor control rod drive mechanisms, etc."
"28-36","238000","installation of machinery and other manufactured goods in buildings considered manufacturing in ISIC and NACE but not considered manufacturing in NAICS"
"2891","332111","forging of purchased iron or steel "
"2891","332112","forging purchased nonferrous metals"
"2891","332114","custom roll forming purchased metal"
"2891","332116","stamping purchased metals"
"2891","332117","manufacturing powder metal parts"
"2892","115210","farriers"
"2892","332710","machining metal parts on a job order basis"
"2892","332811","annealing, tempering, hardening, and other heat treating of metals for the trade"
"2892","332812","coating, engraving metals (except jewelry) for the trade, laser engraving on metals other than precious metals"
"2892","332813","plating, electroplating, anodizing, shot peening, deburring, polishing, etc., metal for the trade, grinding castings for the trade"
"2892","339911","industrial engraving on precious metal, engraving (including laser) and etching precious jewelry"
"2892","339912","engraving (including laser engraving), etching or chasing precious or precious clad hollowware and silverware "
"2892","811310","welding repair shops and mobile welding repair"
"2893","332211","cutlery and flatware, including human hair and nail clippers, razor blades, scissors, including barber's scissors, cutlasses, swords, and bayonets-nonprecious"
"2893","332212","handtools such as tin snips, edge tools, files, drill bits for wood, hand clippers for animals, hand clippers for hedges, plumbers handtools, screwdrivers, putty knives, vices, etc."
"2893","332213","handsaws and saw blades, chain saw chains (blades)"
"2893","332510","manufacture of door locks, pad locks, and hinges, furniture hardware, key blanks, aircraft hardware, automobile hardware, luggage hardware, casters, etc."
"2893","332999","hand bellows, saddlery parts, horse bits, shower rods, metal car seals"
"2893","333120","construction and surface mining drill bits"
"2893","333131","underground mining drill bits"
"2893","333514","cutting dies, made in die shops"
"2893","333515","metalworking bits and similar cutting tool attachments and accessories, including collars, collets, clamps, chucks, etc."
"2893","337920","drapery and curtain rods and hardware"
"2899","322223","foil bag manufacturing"
"2899","323118","looseleaf binding fittings"
"2899","331222","steel wire and wire products made in drawing plants, steel chain made in wire drawing plants"
"2899","331319","aluminum wire products made in drawing plants"
"2899","331421","copper mechanical wire products made in drawing mills"
"2899","331422","copper wire products, such as wire mesh made in drawing mills"
"2899","331491","other nonferrous wire products made in drawing plants"
"2899","332115","crown and closure manufacturing"
"2899","332214","kitchen pots, pans, and utensils, such as potato mashers, colanders, strainers, and spatulas"
"2899","332322","sheet metal countertops not fabricated at the site of construction"
"2899","332323","chain ladders"
"2899","332431","metal cans, such as beer cans, food cans, etc., aluminum, steel or other metal"
"2899","332439","other steel containers and lids, less than 300 liters, collapsible tubes (such as toothpaste tubes), cash boxes and similar office containers, stamped metal mail boxes, ammunition boxes, tool boxes"
"2899","332611","heavy gauge springs, such as coil springs, leaf springs, and torsion bars"
"2899","332612","light gauge springs such as upholstery springs, hair springs, coiled springs (except clock and watch)"
"2899","332618","wire products made from purchased wire, including grates, fencing, mesh, netting, brads, staples, cable, paper clips, and similar wire products, chain, chain links, tire chains made from purchased wire, wire office products, file racks, collators., etc."
"2899","332721","screw machine, numerical lathe, and similar precision turned products"
"2899","332722","nuts, bolts, screws, rivets, washers, and similar fasteners"
"2899","332911","complete fire hydrants"
"2899","332998","enameled and other metal sanitary ware"
"2899","332999","foil containers (except bags) made from purchased foil, miscellaneous fabricated metal products, such as fire place sets, andirons, safes, nonprecious trophies, ship and boat propellers made from purchased metal"
"2899","333992","welding rods and electrodes"
"2899","333999","industrial bellows, weather vanes"
"2899","337920","metal blinds"
"2899","339113","metal safety headgear and other metal personal safety devices"
"2899","339914","personal goods (cigar, cigarette cases, coin purses, compacts, etc.) of base metal and of base metal plated with precious metal"
"2899","339942","white boards and marker boards"
"2899","339950","metal signs and metal sign letters"
"2899","339993","sewing needles, buckles, hooks, clasps, and similar"
"2899","339999","metal picture frames "
"2899","811310","repair of steel shipping drums"
"2911","333611","manufacturing turbines, gas (except aircraft), steam and hydraulic, wind turbines"
"2911","333618","internal combustion engines (except automotive and aircraft gasoline engines), including locomotive engines, outboard engines, small internal combustion engines for outdoor power equipment, diesel engine governors, and diesel engines for heavy equipment"
"2911","336311","pistons and piston rings (except automotive and aircraft), nonautomotive carburetors"
"2911","811310","repair of nonautomotive engines"
"2912","332911","industrial valves (gate, check, pressure release, ball, butterfly, etc.)"
"2912","332912","fluid power valves"
"2912","332913","plumbing valves, such as faucets, traps, back flow preventers, and antiscald valves"
"2912","332919","aerosol valves, hose nozzles (fire and garden), inline plumbing and heating valves (stops, cut-off, etc.)"
"2912","333111","farm-type windmills"
"2912","333911","industrial and commercial pumps, including residential sump pumps, pumps for railway vehicle lubricating systems"
"2912","333912","air compressors"
"2912","333913","measuring and dispensing pumps (e.g., gasoline pump)"
"2912","333995","fluid power cylinders and actuators"
"2912","333996","fluid power pumps"
"2912","336312","pumps for mounting on internal combustion engines"
"2912","336322","electric fuel pumps"
"2912","336330","power steering pumps"
"2912","336340","brake master cylinders - hydraulic pumps"
"2912","336391","motor vehicle air-conditioning compressors"
"2912","336412","pumps used on aircraft engines"
"2912","339111","laboratory pumps (vacuum pumps and similar)"
"2912","811310","repair of pumps and related equipment, repair of valves"
"2913","332991","ball and roller bearings"
"2913","333612","gears, speed changers, and high speed drives"
"2913","333613","mechanical power transmission equipment, including bearing, couplings, drive chains, and similar"
"2913","333996","hydrostatic drives and transmissions"
"2913","811310","repair of gearing and driving elements"
"2914","238220","industrial furnace installation, repair and maintenance of furnaces and other heating equipment"
"2914","333298","cement kilns and chemical kilns"
"2914","333414","furnaces and burners"
"2914","333415","forced air heating furnaces (except household-type)"
"2914","333994","industrial process type furnaces, kilns, and ovens, incinerators (except constructions)"
"2914","333999","cremating ovens "
"2914","339111","laboratory furnaces"
"2914","339114","dental laboratory furnaces"
"2914","811310","repair and maintenance of industrial process furnaces"
"2915","238290","installation of materials handling equipment in buildings"
"2915","332212","jacks (except hydraulic and pneumatic)"
"2915","332313","laminated crane hooks"
"2915","332999","metal pallets and skids"
"2915","333120","construction cranes"
"2915","333131","rotary rail car dumpers"
"2915","333921","automotive lifts, elevators, escalators, moving stairways"
"2915","333922","conveyor and conveying equipment"
"2915","333923","overhead traveling cranes, straddle cranes, block and tackle assemblies, winches, ship cranes, ship derricks, and similar materials handling equipment"
"2915","333924","materials handling equipment, such as forklifts, hoists, cranes, stackers"
"2915","333999","hydraulic and pneumatic jacks, bridge and gate lifting machinery"
"2915","336211","dump-truck lifting mechanisms and tail gate loaders"
"2915","811310","repair of materials handling equipment"
"2919","332410","heat exchangers"
"2919","332420","industrial autoclaves, fractioning columns, gas absorbers"
"2919","332919","lawn sprinklers"
"2919","333120","highway line painting equipment (spraying equipment)"
"2919","333294","beverage distilling machinery"
"2919","333298","distilling equipment (except beverage)"
"2919","333311","vending machines, coin operated locks, coin-op mechanisms for vending machines"
"2919","333319","water heaters (except boilers) commercia-type, swimming pool filter systems, commercial cleaning equipment, such as carpet and floor cleaners, dish-washers, mop ringers, and sewage treatment equipment"
"2919","333411","industrial air purifying equipment, furnace and air-conditioning filters"
"2919","333412","industrial and commercial ventilation equipment, such as blowers, commercial fans, and air curtains"
"2919","333415","air-conditioning compressors, commercial cooling and refrigeration equipment, including cooling towers and refrigerated display cases, unit air conditioners for mobile homes and trailer refrigeration"
"2919","333912","airless paint spraying systems, manual pump sprayers"
"2919","333991","spray guns, pneumatic"
"2919","333993","bottle cleaning or sterilizing machinery, packaging and wrapping machinery"
"2919","333997","scales, bathroom, store, and similar; motor or railway scales, industrial scales"
"2919","333999","gas generating and separating equipment, filters, industrial centrifuges, sand blasting equipment"
"2919","335999","ultrasonic cleaning machines (except laboratory and dental)"
"2919","336391","motor vehicle air-conditioning equipment, including related components for automobiles and trucks"
"2919","336399","filters, automotive-type, including fuel, oil, air, etc."
"2919","339111","laboratory freezers, laboratory-type distilling apparatus, laboratory centrifuges, laboratory ultrasonic cleaning machinery"
"2919","339942","artists' airbrushes"
"2919","339991","gaskets and sealing devices of a combination of materials or laminates of the same material"
"2919","339999","fire extinguishers"
"2919","811219","weighing equipment repair and maintenance"
"2919","811310","repair of commercial refrigeration equipment and air purifying equipment, repair of commercial-type general purpose machinery"
"2921","332212","non-powered lawn mowers"
"2921","333111","farm tractors, including walking tractors, combines, harvesters, cultivators, attachments, bailers, seeders, sprayers, milking machines, poultry incubators, and similar agricultural machinery"
"2921","333112","lawn and garden tractors, rototillers (small walking tractor cultivators) hand plows, and similar lawn and garden equipment, lawn mowers"
"2921","333120","logging machinery"
"2921","333291","log debarking machinery, log splitters, and similar"
"2921","811310","maintenance and repair of agricultural tractors, repair of agricultural machinery and forestry and logging machinery"
"2922","332212","electric handheld soldering irons and soldering guns"
"2922","333111","electric hand held animal hair clippers"
"2922","333112","powered handtools for lawn and garden use, such as hedge trimmers and blowers"
"2922","333120","handheld construction drilling equipment"
"2922","333131","handheld portable rock drills"
"2922","333210","woodworking and sawmill machinery"
"2922","333220","hard plastic and hard rubber working machinery"
"2922","333298","other tools for working stone, glass etc."
"2922","333319","portable floor sanding machines, brake service machinery, such as drum or disc turning machines"
"2922","333512","metal cutting machine tools"
"2922","333513","metal forming machine tools"
"2922","333514","dies, tools, jigs, and fixtures for metal working machine tools"
"2922","333515","cutters, accessories, and related parts for metal cutting and metal forming machine tools, including bits, taps, knives, sine bars (measuring attachments)"
"2922","333518","other metalworking machinery, such as wiredrawing machinery, coilers, etc."
"2922","333991","power-driven handtools, including electric, pneumatic, and nonelectric, such as gas powered chain saws"
"2922","333992","welding, soldering, and brazing equipment"
"2922","811310","repair of other powered hand-tools, repair and maintenance of metal cutting and metal forming machine tools and accessories, repair and maintenance of other machine tools"
"2923","331511","rolling mill rolls and steel ingot molds"
"2923","332313","ladle bails"
"2923","332420","ladles, annealing pots, smelting pots, retorts, etc., for metallurgy"
"2923","333298","metal casting machinery (except die-casting)"
"2923","333513","die-casting machinery"
"2923","333516","rolling mill machinery"
"2923","811310","repair and maintenance of metallurgy machinery"
"2924","333120","construction machinery including trailer mounted concrete pumps, off-road construction vehicles, such as dump trucks, and wheeled on-highway construction cranes"
"2924","333131","mining machinery "
"2924","333132","gas and oil field derricks, oil and gas well machinery"
"2924","333922","mining conveyors"
"2924","811310","repair and maintenance of mining, construction, and oil and gas field machinery"
"2925","333111","crop dryers, cream separators, etc., of the type used on farms (not the type used in food processing factories)"
"2925","333294","food and beverage processing machinery (including factory type bakery ovens and similar equipment)"
"2925","333298","tobacco processing machinery, including cigarette making machines"
"2925","333319","commercial and service industry food processing equipment (restaurant, hotel, or catering type)"
"2925","811310","repair and maintenance of food, beverage, and tobacco processing machinery"
"2926","333111","cotton ginning machinery"
"2926","333292","textile machinery for making preparing or finishing yarn, thread, fibers; weaving machines and similar textile making machines; embroidery machines, and similar, including textile printing machinery "
"2926","333298","sewing machines, domestic and industrial types, leather working machinery"
"2926","333312","commercial and service industry laundering and drycleaning machinery"
"2926","339993","industrial and commercial sewing needles"
"2926","811310","repair and maintenance of textile apparel, and leather production machinery, repair and maintenance of papermaking machinery"
"2927","332992","small arms ammunition"
"2927","332993","other ammunition and bomb manufacturing"
"2927","332994","small arms manufacturing, ammunition cart manufacturing"
"2927","332995","other firearms and ordnance"
"2927","336414","guided missiles"
"2927","336419","air frames and other parts for guided missiles (does not include propulsion units)"
"2927","336992","tanks, parts, other armored military vehicles"
"2927","811310","repair and maintenance of fire arms and ordnance"
"2927","811490","repair of sporting and recreational guns"
"2929","332997","industrial patterns and foundry cores"
"2929","333220","rubber and plastics working machinery"
"2929","333291","machinery for making pulp, paper, paperboard, and converting paper, pulp and paper dryers"
"2929","333293","printing, platemaking and bookbinding machinery"
"2929","333295","semiconductor manufacturing machinery"
"2929","333298","chemical, circuit board, glass, light bulb assembly, petroleum refining, wire insulating, and other special purpose machinery"
"2929","333319","carwashing machinery"
"2929","333511","molds for various materials"
"2929","811310","repair and maintenance of other special purpose machinery"
"2930","333412","attic ventilation fans (gable fans, roof ventilators, etc.)"
"2930","333414","permanent mount electric space heaters, electric swimming pool heaters, non-electric household heating equipment, such as solar heating, steam heating, oil heat and similar furnaces and heating equipment"
"2930","333415","electric household-type furnaces (electric forced air furnaces, heat pumps, etc.), non-electric household forced air furnaces"
"2930","335211","electric housewares and household-type electric fans"
"2930","335212","household vacuum cleaners and similar"
"2930","335221","electric household cooking major appliances (electric stoves, ovens, etc.), nonelectric household cooking equipment (gas ovens, and similar)"
"2930","335222","household refrigerators and freezers, nonelectric household-type refrigerators and freezers (i.e., natural gas or propane for example)"
"2930","335224","household clothes washing and drying machines, nonelectric clothes dryers (gas)"
"2930","335228","dishwashers, disposers, trash compactors, electric water heaters and similar, nonelectric water heaters"
"3000","325992","toner cartridges"
"3000","333313","calculating machines, cash registers, adding machines, postage meters, typewriters, dedicated word processing equipment, stenography machines, mail handling machines, collating machinery"
"3000","333315","duplicators, blueprinting, and photocopy machinery"
"3000","334111","computers-analog, digital, and hybrid"
"3000","334112","storage devices, such as hard drives, floppy drives, CD or DVD computer drives, tape backup storage devices, and similar"
"3000","334113","computer terminals"
"3000","334119","ATMs, point of sale terminals, etc., printers; optical readers and scanners; mouse, joystick, and trackball devices; keyboards; monitors; computer peripheral type overhead projectors"
"3000","334418","internal and external consumer type computer modems"
"3000","339942","staplers, hand-held punches, labelers, and similar office machinery"
"3000","811212","recycling or refilling ink jet cartridges"
"3110","333611","complete turbine generator sets, gas, steam, and wind"
"3110","333992","arc-welding transformers"
"3110","334416","electronic transformers (solid state), coils, chokes, and other inductors"
"3110","335311","power, distribution and specialty electrical transformers, ballasts for lighting"
"3110","335312","prime mover (except turbine) generator sets and generators, rotating inverters"
"3110","335999","solid state inverters, rectifying apparatus, fuel cells, regulated and unregulated power supplies, uninterruptible power supplies"
"3110","811310","repair of electric motors"
"3120","334417","electronic connectors such as cylindrical, rack and panel, printed circuit, etc."
"3120","334419","electronic switches, such as snap, toggle, rocker, etc., for use in electronic apparatus"
"3120","335313","switchgear, switchboards, and similar apparatus such as control panels, distribution panels, distribution cutouts; circuit breakers, power connectors"
"3120","335314","relays (electrical and electronic) and industrial controls"
"3120","335931","terminals, switches, outlets, taps, plugs, wire connectors, lightning arrestors, and similar current carrying devices"
"3120","335932","boxes, such as outlet, junction and switch; transmission pole and line hardware"
"3120","335999","surge suppressors"
"3120","811310","repair and maintenance of distribution and control apparatus for electricity"
"3130","331222","insulated steel cable capable of being used as a conductor, made in steel wire drawing plants"
"3130","331319","insulated aluminum wire capable of being used as a conductor, made in wire drawing plants"
"3130","331422","insulated copper wire made in integrated secondary smelting and drawing plants or made from purchased copper in drawing plants"
"3130","334419","harness assemblies (insulated wire and connectors) for electronic use, including printer cables, monitor cables, and similar"
"3130","335921","fiber-optic cable made from purchased strand (data transmission)"
"3130","335929","insulating purchased wire"
"3130","335999","appliance cords, extension cords, and other electrical cord sets with insulated wire and connectors"
"3140","326199","plastics battery separators"
"3140","326299","rubber battery separators"
"3140","335911","storage batteries, including rechargeable battery packs"
"3140","335912","primary batteries"
"3150","335110","manufacture of electric light bulbs, tubes, parts and components (except glass blanks), including flash bulbs"
"3150","335121","manufacture of residential electric lighting fixtures, including lamp shades (except glass or plastic)"
"3150","335122","manufacture of commercial, industrial, and institutional electric lighting fixtures, including battery backup emergency lighting fixtures and indoor illuminated entry and exit safety signs"
"3150","335129","manufacture of other lighting fixtures, including nonelectric lighting fixtures (such as gas lights and lanterns), street and highway lighting fixtures, lighted Christmas novelties, bug zappers with light, and electric lighted fireplace logs"
"3150","336321","lighting equipment for aircraft, boats, and similar"
"3150","339950","outdoor electric signs and neon signs"
"3190","332999","permanent magnets, metallic"
"3190","333298","electroplating machinery "
"3190","333319","electrical teaching machines (except flight simulators)"
"3190","333618","electric outboard motors "
"3190","334290","signaling equipment such as traffic and pedestrian signaling equipment, burglar and fire alarm systems, sirens"
"3190","334511","mine detectors, sending out and responding to a signal"
"3190","334515","pulse (signal) generators"
"3190","334519","metal detectors"
"3190","335129","bug zappers without light"
"3190","335314","electromagnetic brakes and clutches"
"3190","335932","electrical insulators (except glass or porcelain), base metal conduit and fittings"
"3190","335991","carbon and graphite electrodes, contacts, and other electrical carbon and graphite products"
"3190","335999","particle accelerators, chimes and bells, miscellaneous electrical machinery (see index list)"
"3190","336321","vehicular lighting equipment for automobiles and motorcycles"
